Título,Autores,Fecha,URL,Fuente
,"Raquel Machado Leite;
Regina Barwaldt;
Danúbia Bueno Espíndola;
Marcelo Pias",2018,,IEEE Xplore
,"Ying Qu;
Xuming Wang",2023,,IEEE Xplore
,"Akiyoshi Takahashi;
Hiromitsu Shiina;
Nobuyuki Kobayashi",2019,,IEEE Xplore
,"Mingming Fan;
Ke Wu;
Jian Zhao;
Yue Li;
Winter Wei;
Khai N. Truong",2020,,IEEE Xplore
,Xiaoying Xia,2023,,IEEE Xplore
,"LiXiao Ma;
JiChao Hu;
YiYing Chen;
XueJing Liu;
WenBin Li",2017,,IEEE Xplore
,Y. Yao,2005,,IEEE Xplore
,Pyoung Won Kim,2024,,IEEE Xplore
,Marina Umaschi Bers,2018,,IEEE Xplore
,"Mehdi Roopaei;
Justine Horst",2021,,IEEE Xplore
,"Ion I. Moraru;
James C. Schaff;
Leslie M. Loew",2006,,IEEE Xplore
,B.R. Carlisle,1995,,IEEE Xplore
,"Frances C. Dancer;
April L. Tanner;
Mya N. Thomas;
Mary M. Thomas",2022,,IEEE Xplore
,No disponible,2007,,IEEE Xplore
,"Zhao Yan Jun;
Zhang Chun Ying",2015,,IEEE Xplore
,Yinwei Liu,2023,,IEEE Xplore
,"Qin Yang;
Mingxi Tang;
Shouqian Sun",2009,,IEEE Xplore
,"Sun Shichang;
Yang Zhihao;
Lin Hongfei;
Meng Jiana;
Zhang Jincheng;
Wang Rui",2024,,IEEE Xplore
,"Amit Samanta;
Yong Li",2018,,IEEE Xplore
,"Ricardo Almeida;
Teresa Pessoa;
Anabela Gomes",2018,,IEEE Xplore
,"Varad Kulkarni;
Akarsh Chaturvedi;
Pranjal Naman;
Yogesh Simmhan",2023,,IEEE Xplore
,"Jiapei Li;
Chun-jie Li",2016,,IEEE Xplore
,"Zhou Xue-yan;
Ren Xiang-min",2010,,IEEE Xplore
,"Saneesh P. Francis;
Vysakh Kanikkolil;
Krishnashree Achuthan",2016,,IEEE Xplore
,"Wookhee Min;
Bradford Mott;
Kyungjin Park;
Sandra Taylor;
Bita Akram;
Eric Wiebe;
Kristy Elizabeth Boyer;
James Lester",2020,,IEEE Xplore
,"Nishat Vasker;
Md. Mohshiu Islam Khan;
Shahriar Sadman Dihan;
H. Abu Jakaria Muhammad Tamim",2024,,IEEE Xplore
,"Shijun Ge;
Yuanbo Sun;
Yin Cui;
Dapeng Wei",2025,,IEEE Xplore
,"Victor Winter;
Michelle Friend;
Michael Matthews;
Betty Love;
Sanghamithra Vasireddy",2019,,IEEE Xplore
,"L. R. Varshney;
F. Pinel;
K. R. Varshney;
D. Bhattacharjya;
A. Schörgendorfer;
Y.-M. Chee",2019,,IEEE Xplore
,"Nazmun Naher;
Tanzima Hashem;
George Loukas",2019,,IEEE Xplore
,"Joanna Goode;
Kirsten Peterson;
Joyce Malyn-Smith;
Gail Chapman",2019,,IEEE Xplore
,"Sergej Prokhorov;
Ilona Kulikovskikh",2015,,IEEE Xplore
,"Zorica M. Mitrović;
Aleksandar M. Rakićević;
Dejan č. Petrović;
Marko M. Mihić;
Jovana Ð. Rakićević;
Elena T. Jelisić",2020,,IEEE Xplore
,"Carlos Evia;
Matthew R. Sharp;
Manuel A. Pérez-Quiñones",2015,,IEEE Xplore
,"Amy Isvik;
Veronica Cateté;
Tiffany Barnes",2020,,IEEE Xplore
,Anthony Trory,2016,,IEEE Xplore
,Michael C. Jackson,2024,,IEEE Xplore
,"Fariza Kulanova;
Daniyar Baitureev;
Chandan Pal Singh",2023,,IEEE Xplore
,"Lucas Mendonça de Souza;
Bernardo Martins Ferreira;
Igor Moreira Félix;
Leônidas de Oliveira Brandão;
Anarosa Alves Franco Brandão;
Patricia Alves Pereira",2019,,IEEE Xplore
,"Ricardo Almeida;
Teresa Pessoa",2017,,IEEE Xplore
,"Juan Pablo Apaza Condori;
Edwin Villanueva",2024,,IEEE Xplore
,"B. Patkai;
S.J. Torvinen",2004,,IEEE Xplore
,"Wenming Cao;
Hao Feng;
Lijun Ding;
Jianhua Wang;
Shoujue Wang",2009,,IEEE Xplore
,"Lori A. Perine;
Rajesh Kumar Gnanasekaran;
Phillip Nicholas;
Alexis Hill;
Richard Marciano",2020,,IEEE Xplore
,"Yannis Papadopoulos;
Stergios Tegos",2012,,IEEE Xplore
,"Hana Bučková;
Jiří Dostál",2019,,IEEE Xplore
,"Siti Khadijah Mohamad;
Zaidatun Tasir",2014,,IEEE Xplore
,Yingxu Wang,2013,,IEEE Xplore
,"R. J. Ramteke;
S. S. Gharde;
D. D. Bage;
A. P. Dongre",2022,,IEEE Xplore
,"Ruth Torres;
Sarah T. Hug;
Adan Delval;
Wendy Chi;
Enrico Pontelli",2024,,IEEE Xplore
,"Kholmanova Zulkhumor Turdievna;
Kurbanova Munavvara Abdijabborovna;
Atamuratov Rasuljon Kadirjanovich",2022,,IEEE Xplore
,"Zara Nasar;
Syed Waqar Jaffry",2018,,IEEE Xplore
,"Zhengqing Yun;
Magdy F. Iskander",2024,,IEEE Xplore
,"Ren Yiwei;
Ren Xia",2010,,IEEE Xplore
,Yingxu Wang,2010,,IEEE Xplore
,"Chang-Shing Lee;
Mei-Hui Wang;
Li-Wei Ko;
Yi-Hisu Lee;
Hirofumi Ohashi;
Naoyuki Kubota;
Yusuke Nojima;
Shun-Feng Su",2020,,IEEE Xplore
,"Belinda M. Dungan;
Proceso L. Fernandez",2020,,IEEE Xplore
,"Judith Good;
Katy Howland;
Keiron Nicholson",2010,,IEEE Xplore
,"Katalin Jäckel;
Monika Garai-Fodor",2023,,IEEE Xplore
,"Ágnes Csiszárik-Kocsir;
János Varga",2024,,IEEE Xplore
,"Somin Sung;
Saem Gyeol Cha;
Seung Hoe Choi",2024,,IEEE Xplore
,KeXiong Cui,2021,,IEEE Xplore
,"Azlan Iqbal;
Harold van der Heijden;
Matej Guid;
Ali Makhmali",2012,,IEEE Xplore
,C. Landauer,1998,,IEEE Xplore
,"Juan Chen;
Bin Lu",2008,,IEEE Xplore
,"Ana Liz Souto O. Araujo;
Jucelio S. Santos;
Wilkerson L. Andrade;
Dalton D. Serey Guerrero;
Valentina Dagienė",2017,,IEEE Xplore
,"Ting-Chia Hsu;
Ching Chang;
Yi-Sian Liang",2023,,IEEE Xplore
,"Sirazum Munira Tisha;
Rufino A. Oregon;
Gerald Baumgartner;
Fernando Alegre;
Juana Moreno",2022,,IEEE Xplore
,"Ting-Chia Hsu;
Ching Chang;
Yi-Sian Liang",2024,,IEEE Xplore
,"Janghwan Kim;
Chansol Park;
Woosung Jang;
R. Young Chul Kim",2023,,IEEE Xplore
,"Francielli Freitas Moro;
Maria Paula Corrêa Angeloni;
Liane Margarida Rockenbach Tarouco;
João Bosco da Mota Alves",2021,,IEEE Xplore
,"Poojangi Ashok Gadekar;
Shubhangi Vinayak Tikhe",2021,,IEEE Xplore
,"Ren Yanna;
Lv Suhong",2011,,IEEE Xplore
,"Jean Botev;
Kirstie Bellman",2022,,IEEE Xplore
,"Chengzong Li;
Yufeng Chen;
Zhiwu Li;
Kamel Barkaoui",2017,,IEEE Xplore
,"Yueming Yang;
Chase Augustine;
Christopher Werts;
Yongzhe Wang;
Jordan Sherwin",2023,,IEEE Xplore
,"Akiyuki Minamide;
Kazuya Takemata;
Hirofumi Yamada",2020,,IEEE Xplore
,"Rejitha Ravikumar;
Pushpa Sadhwani",2020,,IEEE Xplore
,"John F. Pane;
Mary Beth Rosson",2007,,IEEE Xplore
,"Shaojing Fan;
Jiatao Song;
Yongping Zhang;
Zhongkun He",2009,,IEEE Xplore
,"Song Ning;
Ma Yan",2010,,IEEE Xplore
,"Xiyuan Zhang;
Xinyang Mao;
Yang Yin;
Chunlei Chai;
Ting Zhang",2022,,IEEE Xplore
,"Bill Yang;
Goksel Misirli;
Anil Wipat;
Jennifer Hallinan",2021,,IEEE Xplore
,"Liu Suyi;
Zhang Leduo",2008,,IEEE Xplore
,"László Horváth;
Gábor Szabó;
Imre J. Rudas",2009,,IEEE Xplore
,"Marinos N. Vouvakis;
Javad Moshfegh",2018,,IEEE Xplore
,"Ramya Sallakunta;
Mohd Salahuddin;
Sharanya Sara;
Vaishnavi Munugala;
Aasritha Varshini Vennelakanti;
Indusree Devulapalli",2024,,IEEE Xplore
,"Akhbar Sha;
Anvita Reddy Inture;
Jose Joseph;
Pavithra P M Nair;
M J Sheeba;
Anjali T",2023,,IEEE Xplore
,"Heike Buttke;
Johannes Krugel",2024,,IEEE Xplore
,Edit Tóth-Laufer,2014,,IEEE Xplore
,"Sayantani Ghosh;
Amit Konar;
Atulya K Nagar",2024,,IEEE Xplore
,No disponible,2017,,IEEE Xplore
,S.H. Rubin,2003,,IEEE Xplore
,"Emanuela Marchetti;
Andrea Valente;
Nina Bonderup Dohn",2022,,IEEE Xplore
,"John G. Taylor;
Matthew Hartley",2009,,IEEE Xplore
,"Hou Yuemin;
Ji Linhong",2009,,IEEE Xplore
,"Ehsan Lotfi;
M.R. Akbarzadeh-T",2013,,IEEE Xplore
,"Dongqing Shi;
Jerald Kralik;
Haiyan Mi",2020,,IEEE Xplore
,Aiju Han,2022,,IEEE Xplore
,"Juandalyn Coffen-Burke;
Kai-Wen K. Yang;
Casey Overby Taylor",2023,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Peter J. Denning;
Matti Tedre",2019,,IEEE Xplore
,"Z. Wang;
D.H. Zhang;
W.P. He",2004,,IEEE Xplore
,Yen Caballero-Gonzalez,2022,,IEEE Xplore
,Jonathan Álvarez Ariza,2017,,IEEE Xplore
,"Ben Khayut;
Lina Fabri;
Maya Avikhana",2020,,IEEE Xplore
,"Ben Khayut;
Lina Fabri;
Maya Avikhana",2017,,IEEE Xplore
,"Mehrdad Nojoumian;
Thomas T. Tran",2006,,IEEE Xplore
,Ganesh Kumar Venayagamoorthy,2011,,IEEE Xplore
,"Marina Rottenhofer;
Thomas Rankin;
Barbara Sabitzer",2020,,IEEE Xplore
,"Alicia Layne;
Penelope DeFreitas;
Juanelle Marks;
Rayad Lackhan",2020,,IEEE Xplore
,Yiyu Yao,2008,,IEEE Xplore
,Wolfgang Schulz,2017,,IEEE Xplore
,"Cesar F. Pimentel;
Maria R. Cravo",2013,,IEEE Xplore
,"P. Karimi;
M. L. Maher;
K. Grace;
N. Davis",2019,,IEEE Xplore
,"Isabelle Tingzon;
Niccolo Dejito;
Ren Avell Flores;
Rodolfo De Guzman;
Liliana Carvajal;
Katerine Zapata Erazo;
Ivan Enrique Contreras Cala;
Jeffrey Villaveces;
Daniela Rubio;
Rayid Ghani",2020,,IEEE Xplore
,W.A. Greene,1991,,IEEE Xplore
,"Hussien Sharaf;
Amr Badr;
Ibraheem Farag",2010,,IEEE Xplore
,Dave Bacon,2012,,IEEE Xplore
,"M Vijayalakshmi;
Meenaxi M. Raikar",2021,,IEEE Xplore
,"Amy Banic;
Ruben Gamboa",2019,,IEEE Xplore
,Ali Karci,2007,,IEEE Xplore
,Rodolfo A. Fiorini,2017,,IEEE Xplore
,No disponible,2005,,IEEE Xplore
,"Qiang Chen;
Lianchun Wang;
Peichang Yu;
Danfeng Zhou",2020,,IEEE Xplore
,"Jun-Ming Su;
Da-Qing Lian",2016,,IEEE Xplore
,"Vivian Genaro Motti;
Jean Vanderdonckt",2013,,IEEE Xplore
,"Nutchanon Yongsatianchot;
Stacy Marsella",2023,,IEEE Xplore
,"Noha Abdulkhalig M. Alharbi;
Quintin I. Cutts",2023,,IEEE Xplore
,"David Wilson;
Saquib Sarwar;
Nadia Najjar",2024,,IEEE Xplore
,Yingxu Wang,2012,,IEEE Xplore
,"Daniel Qi Chen;
Huigang Liang",2019,,IEEE Xplore
,"Jesús Moreno-León;
Gregorio Robles",2016,,IEEE Xplore
,"Sing Ling Ong;
Jill Pei Wah Ling",2020,,IEEE Xplore
,"Xin-Yuan Zhang;
Yue-Jiao Gong;
Ying Lin;
Jie Zhang;
Sam Kwong;
Jun Zhang",2019,,IEEE Xplore
,"Satoshi Yamashita;
Setsuo Takato",2011,,IEEE Xplore
,L.A. Treinish,2000,,IEEE Xplore
,Brian F. Tivnan,2007,,IEEE Xplore
,"Franco Quezada;
Luis Rojo-González;
Óscar C. Vásquez",2019,,IEEE Xplore
,"Georgios Chochlakis;
Niyantha Maruthu Pandiyan;
Kristina Lerman;
Shrikanth Narayanan",2025,,IEEE Xplore
,"Alina Lungeanu;
Sophia Sullivan;
Uri Wilensky;
Noshir S. Contractor",2015,,IEEE Xplore
,"Annwesa Dasgupta;
Senay Purzer",2016,,IEEE Xplore
,"Francisco Javier Díaz;
Noelia Soledad Gómez;
Magali Catino",2020,,IEEE Xplore
,"Lifeng Li;
Shifeng Liu;
Kun Zhang",2016,,IEEE Xplore
,"Marco Calabrese;
Vincenzo Piuri;
Vincenzo Di Lecce",2011,,IEEE Xplore
,"R. Giles;
P. Tamayo",1992,,IEEE Xplore
,"Y. Miyake;
Y. Onishi;
E. Popper",2003,,IEEE Xplore
,"Anniina Ala-Kitula;
Karoliina Talvitie-Lamberg;
Pasi Tyrväinen;
Minna Silvennoinen",2017,,IEEE Xplore
,"Wan Chong Choi;
Iek Chong Choi",2024,,IEEE Xplore
,A. Kosorukoff,2001,,IEEE Xplore
,"Pedro Perez-Murueta;
Luis H. González-Guerra",2024,,IEEE Xplore
,Rodolfo A. Fiorini,2018,,IEEE Xplore
,"Rita Ősz;
János Fodor",2013,,IEEE Xplore
,"Chang-xing Li;
Su-mei Zhang",2009,,IEEE Xplore
,"Pan Li;
Shaochen Ren;
Qun Zhang;
Xuran Wang;
Yang Liu",2024,,IEEE Xplore
,Keith W. Hipel,2013,,IEEE Xplore
,"R. K. Swain;
N. K. Kamila;
B. B. Misra",2012,,IEEE Xplore
,Pao-Nan Chou,2018,,IEEE Xplore
,"David Cartes;
Joe H. Chow;
Dan McCaugherty;
Steve Widergren;
G. Kumar Venayagamoorthy",2013,,IEEE Xplore
,"Huanjun Liu;
Siming Li;
Yangchun Xiao",2021,,IEEE Xplore
,"Qingqing Zhang;
Jielin Pan;
Shui-duen Chan;
Yonghong Yan",2009,,IEEE Xplore
,"Runxin Tao;
Jun Tian;
Liangting Zhang;
Jiaxingzhi Wan",2024,,IEEE Xplore
,"Wu Yongfen;
Chen Weiwei;
Li Zhigang;
Li Yong;
Shi Lei;
Liu Ying",2021,,IEEE Xplore
,"Jose L. De La Hoz;
David Restrepo;
Camilo Vieira",2024,,IEEE Xplore
,J. Hodges,1992,,IEEE Xplore
,"Setareh Maghsudi;
Max Davy",2021,,IEEE Xplore
,"Amir J. Moye;
Marieke K. van Vugt",2021,,IEEE Xplore
,"James Goodman;
Simon Lucas",2020,,IEEE Xplore
,"Fredrik Heintz;
Linda Mannila;
Tommy Färnqvist",2016,,IEEE Xplore
,"Yangchun Hu;
Shaojun Shi",2024,,IEEE Xplore
,"Xiyu Liu;
Wenxing Sun;
Jianping Zhang",2010,,IEEE Xplore
,Ashraf Alam,2022,,IEEE Xplore
,"Xinxin Liu;
Hongyun Xu",2016,,IEEE Xplore
,"Sheena Erete;
Nichole Pinkard;
Caitlin K. Martin;
Jim Sandherr",2015,,IEEE Xplore
,"Lakshmi Dhandabani;
Rajeev Sukumaran",2014,,IEEE Xplore
,"Aiqin Zhang;
Guangming Hou;
Zhaohua Wang",2010,,IEEE Xplore
,"Katriina Heljakka;
Pirita Ihamäki;
Pauliina Tuomi;
Petri Saarikoski",2019,,IEEE Xplore
,"Brett Hamlin;
Jonathan Riehl;
A J Hamlin;
Amy Monte",2010,,IEEE Xplore
,"Mihir Awatramani;
Diane Rover",2015,,IEEE Xplore
,"Zhou Jun;
Y. Umetani",2005,,IEEE Xplore
,"Hao Jiang;
MingXi Tang",2010,,IEEE Xplore
,"Monika Pogatsnik;
Éva Beke;
Rita Bodane Kendrovics",2024,,IEEE Xplore
,"Jun Hu;
Chun Guan",2011,,IEEE Xplore
,"Min Wu;
Jiang Hao",2008,,IEEE Xplore
,"Wennan Wu;
Ruisi Liu;
Junjie Chu",2023,,IEEE Xplore
,"Jun Hu;
Yu-hai Chen;
Chun Guan",2007,,IEEE Xplore
,"Xing Gang;
Ren RongRong",2009,,IEEE Xplore
,"János Kosztolányi;
Zsolt Tégla",2024,,IEEE Xplore
,"Xiangfeng Wei;
Quan Zhang",2009,,IEEE Xplore
,"Jaime Minaya;
Piero Marini;
Gonzalo Alfaro;
Johan Tanta;
Fernando Socualaya;
Ricardo Temoche;
Jose Diaz",2019,,IEEE Xplore
,"Amod Tiwari;
Ashish Kumar Singh;
Sunil Kumar Pandey;
Rupali Chaturvedi;
A. Chatterjee",2010,,IEEE Xplore
,M.A. Breuer,2005,,IEEE Xplore
,"Mark Ragan;
Brad Marsh",2008,,IEEE Xplore
,"Qianmengke Zhao;
Ye Wang;
Qun Liu",2021,,IEEE Xplore
,"Elena Prieto-Rodriguez;
Regina Berretta",2014,,IEEE Xplore
,Monika Pogatsnik,2019,,IEEE Xplore
,"Arlinta Barus;
Inggriani Liem;
Tahan Sihombing;
Arnaldo Sinaga;
Eka Sinambela;
Sari Silalahi",2023,,IEEE Xplore
,"M. Amin Rahimian;
Ali Jadbabaie;
Elchanan Mossel",2017,,IEEE Xplore
,"Rafael Dias;
Anikó Costa;
José Malaquias;
Manuel Camara",2019,,IEEE Xplore
,"Ala N. Tak;
Jonathan Gratch",2023,,IEEE Xplore
,"Zhidan Liu;
Pengfei Zhou;
Zhenjiang Li;
Mo Li",2019,,IEEE Xplore
,"Antonio Agudo;
J. M. M. Montiel;
Begoña Calvo;
Francesc Moreno-Noguer",2016,,IEEE Xplore
,"Jill Cao;
Scott D. Fleming;
Margaret Burnett;
Christopher Scaffidi",2015,,IEEE Xplore
,"Joseph Keene;
Hasan M Jamil",2022,,IEEE Xplore
,"Alexandra Funke;
Marc Berges;
Peter Hubwieser",2016,,IEEE Xplore
,"Roshan Sharma;
Shruti Palaskar;
Alan W Black;
Florian Metze",2022,,IEEE Xplore
,"Stefka Fidanova;
Olympia Roeva;
Maria Ganzha",2020,,IEEE Xplore
,"Nicholas Mavengere;
Mikko Ruohonen",2016,,IEEE Xplore
,"Muhammad Hussain Rana;
Vazeerudeen Abdul Hameed",2023,,IEEE Xplore
,"Xiaowei Yang;
Hongqi Yang;
Jinyong Huang;
Zihao Fang",2016,,IEEE Xplore
,"Jie Cui;
Xiaomei Ning;
Ming Wu;
Fengxia Li",2018,,IEEE Xplore
,"Yaodong Li;
Xia Cui;
Ruwei Dai",2008,,IEEE Xplore
,"E. Gentry;
B. Helland;
B. Summers",1997,,IEEE Xplore
,"Xia Cui;
Ruwei Dai",2008,,IEEE Xplore
,"Archana Reddy P.;
Divya Jyothi G.;
Velumury Varshita;
Chennupati Akshitha;
D Radha",2024,,IEEE Xplore
,"Ádám Mészáros;
Ágnes Csiszárik-Kocsir",2022,,IEEE Xplore
,"Lingju Zeng;
Mingzhang Zuo;
Xiangli Lu",2010,,IEEE Xplore
,"Li Yingjie;
Wang Cuihua",2008,,IEEE Xplore
,J.L. Miller,1995,,IEEE Xplore
,"Luyi Li;
Yanlin Zheng;
Fanglin Zheng;
Shaochun Zhong",2010,,IEEE Xplore
,"Yuhua Hu;
Paul McLaughlin",2010,,IEEE Xplore
,Zhou Lixin,2016,,IEEE Xplore
,"Jun Huang;
Lingli Hang",2010,,IEEE Xplore
,Andreas Dengel,2018,,IEEE Xplore
,"Wan-Juan Dai;
Ming-Chaun Li;
Chih-Ming Chen;
Ming-Yan Huang",2024,,IEEE Xplore
,"Madelynn Dickerson;
Audra Eagle Yun",2023,,IEEE Xplore
,"Francisco J. Valero-Cuevas;
Jae-Woong Yi;
Daniel Brown;
Robert V. McNamara;
Chandana Paul;
Hood Lipson",2007,,IEEE Xplore
,"Ana-Maria Olteţeanu;
Zoe Falomir;
Christian Freksa",2018,,IEEE Xplore
,"Hideo Nagumo;
Yasumasa Oomori;
Yasuhiro Takemura",2021,,IEEE Xplore
,"Jesús Moreno-León;
Cristian Chushig;
Gregorio Robles",2022,,IEEE Xplore
,"K. Miková;
Z. Kubincová",2023,,IEEE Xplore
,"N. Keseric;
M. Saguan;
G. Hadjee",2005,,IEEE Xplore
,"Yun-Tai Chang;
Sheng-Chih Chen;
Tsai-Yen Li",2013,,IEEE Xplore
,Shengyuan Wu,2019,,IEEE Xplore
,Mala L. Radhakrishnan,2021,,IEEE Xplore
,"I. Kobayashi;
M. Sugeno",1996,,IEEE Xplore
,"Gianluca Paravati;
Fabrizio Lamberti;
Valentina Gatteschi",2015,,IEEE Xplore
,"Dimitrios Gkountelos;
Milad Kokhazadeh;
Charalampos Bournas;
Georgios Keramidas;
Vasilios Kelefouras",2023,,IEEE Xplore
,"Kai-Hsiang Yang;
Hui-Ying Lin",2019,,IEEE Xplore
,"Chun-yien Chang;
Ying-ping Chen",2019,,IEEE Xplore
,Peter Wegner,2012,,IEEE Xplore
,No disponible,2006,,IEEE Xplore
,"Sujit Kumar;
Yashaswini H K;
Naveen Kumar Sharma;
Mohit Bajaj;
Deeksha Naithani;
Meenakshi Maindola",2022,,IEEE Xplore
,"Daniel Ruiz-Perez;
Haibin Guan;
Purnima Madhivanan;
Kalai Mathee;
Giri Narasimhan",2018,,IEEE Xplore
,"Joan Arnedo-Moreno;
David García-Solórzano",2020,,IEEE Xplore
,"Verónica Vasconcelos;
Ricardo Almeida;
Luís Marques;
Emília Bigotte",2023,,IEEE Xplore
,"Elaine M. Hampton;
Leilana Luna;
Christopher Villa;
Randy Taylor;
Elsa Villa;
Mary K. Roy",2024,,IEEE Xplore
,"Wahid Yunianto;
Guillermo Bautista;
Rully Charitas Indra Prahmana;
Zsolt Lavicza",2023,,IEEE Xplore
,Gregory D. Abowd,2020,,IEEE Xplore
,"Sandeep Singh Rawat;
Lakshmi Rajamani",2009,,IEEE Xplore
,"Floris Niehaus;
Ben Kotze;
Adam Marais",2019,,IEEE Xplore
,M.M. Gupta,1990,,IEEE Xplore
,Mengmei Wang,2021,,IEEE Xplore
,"Joost Broekens;
Laduona Dai",2019,,IEEE Xplore
,"Lorena Jeranoski;
Paulo Leitão",2024,,IEEE Xplore
,"V. Martin;
M. Peev;
J.P. Brito;
L. Ortíz;
R. Brito-Méndez;
R. Vicente;
J. Saez-Buruaga;
A.J. Sebastian-Lombraña;
M.I. García-Cid;
J. Faba;
J. Setien;
P. Salas;
C. Escribano;
L. Mengual;
F. Fung;
J. Morales;
A. Muñiz;
A. Pastor-Perales;
D. Lopez",2024,,IEEE Xplore
,L.I. Perlovsky,1998,,IEEE Xplore
,"L.W. Tucker;
C.R. Feynman;
D.M. Fritzsche",1988,,IEEE Xplore
,Chien-Sing Lee,2020,,IEEE Xplore
,"Rosanna Yuen-Yan Chan;
Vincent Yu Hang Choi;
Qi Cao;
Marco Lok Hin Wong;
Sijie Yan;
Cecilia Ka Yuk Chan",2019,,IEEE Xplore
,"E.Yu. Privodnova;
N.V. Volf;
E.A. Merculova",2019,,IEEE Xplore
,"Ben Khayut;
Lina Fabri;
Maya Avikhana",2016,,IEEE Xplore
,"Abhinav Nandgaonkar;
Sunil B Mane;
Vaibhav Khatavkar",2023,,IEEE Xplore
,"Donald M. Morrison;
Hu Xiangen",2012,,IEEE Xplore
,Lidija Kralj,2016,,IEEE Xplore
,"Xiaowei Liu;
Alex Doboli;
Simona Doboli",2021,,IEEE Xplore
,"Karen Aguar;
Hamid R. Arabnia;
Juan B. Gutierrez;
Walter D. Potter;
Thiab R. Taha",2016,,IEEE Xplore
,"Prakash Hegade;
Aryan;
Ashok Shettar",2023,,IEEE Xplore
,"Xi Chen;
Lei Peng;
Minghong Zhang;
Wei Li",2017,,IEEE Xplore
,"Yerika Jimenez;
Christina Gardner-McCune",2015,,IEEE Xplore
,"Esther Douglass;
Alaina Cannella;
Katherine G. Herbert;
Vaibhav Anu;
Sumi Hagiwara;
Thomas Marlowe;
Stefan Robila",2024,,IEEE Xplore
,"Elisa Benetti;
Gianluca Mazzini",2021,,IEEE Xplore
,"M. Concepción Castillo-González;
A. Luisa Sánchez-Hernández;
Nohemí Lugo;
Claudia V. Pérez-Lezama",2021,,IEEE Xplore
,"James A. Sethian;
Jean-Philippe Brunet;
Adam Greenberg;
Jill P. Mesirov",1991,,IEEE Xplore
,"Danjie Zhu;
Ya-Jun Pan;
Tianye Wang;
Shiwei Liu;
Wenwen Pei",2024,,IEEE Xplore
,T.S. Perry,1990,,IEEE Xplore
,"Qiuzhen;
Yuanyuan Liu;
Xiaoguang Huang;
Jun Shang;
Min Jin",2024,,IEEE Xplore
,Stephen Cousins,2021,,IEEE Xplore
,"Jihong Liu;
Hongfei Zhan",2013,,IEEE Xplore
,"Nhon Do;
Thu-Le Pham",2011,,IEEE Xplore
,"Margarida Romero;
Niki Lambropoulos",2015,,IEEE Xplore
,"Jianchu Yao;
Loren Limberis;
Steve Warren",2010,,IEEE Xplore
,"António J. R. Neves;
Fabianne Ribeiro",2024,,IEEE Xplore
,"Gelson Schneider;
Flavia Bernardini;
Clodis Boscarioli",2020,,IEEE Xplore
,"A. Sumithra Gavaskar;
N. Vijayalakshmi;
S. Gavaskar;
A. Saranya;
R. Kiruthika",2023,,IEEE Xplore
,Jiří Wiedermann,2013,,IEEE Xplore
,"Reed Milewicz;
Jeffrey Carver;
Samuel Grayson;
Travis Atkison",2022,,IEEE Xplore
,"Adeeb Khan;
Devanshu Sachdev;
Abhinay Verma;
Divya Kumar",2024,,IEEE Xplore
,"Alex Mathew;
K Martin Sagayam",2022,,IEEE Xplore
,"Buzhong Zhang;
Kui Liu;
Benyue Su",2008,,IEEE Xplore
,"Mujahid Mohsin;
Mehreen Afzal;
Muhammad Arif Wahla",2010,,IEEE Xplore
,"Juan Sang;
Qin Guo",2011,,IEEE Xplore
,Jiaxiang Bi,2002,,IEEE Xplore
,Wu Peng,2010,,IEEE Xplore
,Leonid I. Perlovsky,2011,,IEEE Xplore
,"Mariann Vàraljai;
Enikő Nagy;
Bàlint Nagy;
Zoltàn Balogh;
György Molnàr",2024,,IEEE Xplore
,"Sabbir Ahmed;
Md. Abul Ala Walid;
Monira Islam",2020,,IEEE Xplore
,"Zahra Kokhazad;
Charalampos Bournas;
Dimitrios Gkountelos;
Georgios Keramidas",2024,,IEEE Xplore
,"Kundharu Saddhono;
Nanda Saputra;
Erikson Saragih;
Elina Lulu Bimawati Rumapea;
Sri Ninta Tarigan;
Cahyo Hasanudin",2024,,IEEE Xplore
,"Gautam Sukhani;
Monali Gulhane;
Nitin Rakesh;
Sudhanshu Maurya;
Shilpa Choudhary;
Senam Pandey",2024,,IEEE Xplore
,"Michael J. Lanham;
Geoffrey P. Morgan;
Kathleen M. Carley",2014,,IEEE Xplore
,Shadrack Katuu,2018,,IEEE Xplore
,"Zhongzhi Shi;
Jun Shi",2003,,IEEE Xplore
,Li Dehua,1996,,IEEE Xplore
,"Sammar Allam;
Sema Alacame",2023,,IEEE Xplore
,"Fahad Alhumaidan;
Nazir Ahmad Zafar",2014,,IEEE Xplore
,Kirill A. Sorudeykin,2011,,IEEE Xplore
,"Zamen Latef Naser;
Ahmed Taha;
Noor Hanoon Haroon;
Noor Baqir Hassan;
Mustafa Al-Tahee;
Imad Matti",2023,,IEEE Xplore
